area_sqft,bedrooms,bathrooms,floors,property_age,renovation_status,lot_size,distance_city_km,neighborhood_score,crime_rate_index,school_rating,hospital_proximity_km,shopping_center_proximity_km,public_transport_score,parking_availability,property_type,construction_quality,energy_efficiency_score,water_supply_score,electricity_supply_score,internet_availability_score,green_space_index,flood_risk_index,noise_pollution_level,SalePrice,Fireplaces
1541,3,2,1,21,0,12182,7.25,7.5,1,6.4,4.06,1.82,5.9,1,1Fam,7,6.5,7.4,6.7,5.9,8.3,3.4,1.6,220000,1
882,1,1,1,70,0,5500,1.93,3.7,4.9,4,7.45,4.85,8.5,0,1Fam,4,1.3,3.7,4.4,3.8,4.3,5.5,10,103200,0
1616,3,2,2,100,1,5400,3.66,6.9,3.8,6.9,5.79,6.11,7.5,1,1Fam,6,0,6,5.1,6.9,4.3,10,7.4,152000,0
1355,4,2,2,86,1,10106,5.47,5.5,5.3,5.9,7.84,4.14,8.1,0,2fmCon,5,0,4.9,4.7,5.2,7.8,9.3,5.1,127500,0
1867,2,1,1,71,1,10708,6.18,4.8,4.9,5.4,6.68,4.68,6,1,1Fam,5,0,5.5,4.8,5.1,9,6.5,3.9,190000,3
2161,3,1.5,2,19,0,10562,7.18,8.6,3.2,8.8,2.41,1.63,7.1,1,1Fam,8,7.2,7.3,7.2,9,7,1,3.1,325624,1
1720,3,2.5,2,22,0,8244,3.88,7,1,8,6.14,2.58,6.9,1,1Fam,7,9.1,5.9,7.7,5.8,5,0.1,4.6,183500,1
1707,2,2.5,1,45,0,16669,7.58,8.4,2.1,8.6,3.16,2.62,6,1,1Fam,8,5,7.9,7.3,7.6,10,3.7,2.6,228000,1
1382,2,1.5,1,85,1,12358,5.29,5.2,3.2,6.5,6.94,5.95,6.5,1,1Fam,5,0,5.2,4.7,4.8,7.1,9.5,4.8,128500,0
1656,3,1,1,66,0,31770,15.07,5.6,4.8,7.2,6.45,3.69,2.2,1,1Fam,6,3,6.1,6.5,6.4,10,6.5,0,215000,2
1767,2,2,2,39,0,5306,2.58,6.7,2.9,8.3,5.2,1.76,8.7,1,TwnhsE,7,6.2,7.6,7.3,7.4,4.5,5.1,6.9,239000,1
1362,3,1.5,1,65,0,10197,5.44,6.5,4.4,5.9,7.09,5.27,6.5,1,1Fam,6,1.5,6.2,5.4,5.6,6.7,5.9,6.1,163000,1
1651,3,2,1,40,0,12416,6.48,5.8,3.1,6.5,6.48,3.9,7.5,1,1Fam,6,5.7,5.7,6.3,6.5,7.1,4.7,3.4,184000,1
2158,4,2,1,76,1,12615,7.13,5.8,5.3,6.4,5.14,5.73,6.8,1,1Fam,6,0,4.8,6.1,5.8,6.9,6.9,4.9,243000,1
2060,4,2.5,2,38,1,10029,5.03,5.5,5,5.9,8.18,1.75,6.5,1,1Fam,6,4.8,5.9,7.2,6.6,6.7,2.8,3.2,211000,1
1920,4,2,2,68,0,13650,8.28,5.2,5.6,5.8,7.19,5.2,8.8,1,1Fam,5,3,5.5,5.2,4.5,10,6.7,1.2,172500,1
2234,1,2,1,18,1,17423,8.45,10,0.9,9.5,2.85,2.92,6.1,1,1Fam,9,7.5,8.8,8.9,8.9,10,1.1,0,501837,1
968,2,1,1,103,1,8520,6.98,4.5,5.6,6,7.96,4.65,7.7,1,1Fam,5,0,5,4.6,4.8,5.8,8.8,1.8,100000,0
1525,3,2.5,2,26,0,2117,1.68,6,3.3,5.9,6.25,3.77,10,1,Twnhs,6,6.7,6.2,5.6,6.5,3.4,2.4,7.5,177000,1
1802,4,1.5,2,106,1,7588,2.94,7.7,3.9,8.9,5.4,3.3,9.9,1,1Fam,7,0,6.5,6.6,6.7,5,10,7.4,200100,1
1340,3,1,1,69,1,9060,3.46,5,6.6,4.9,9.49,4.44,7.6,1,1Fam,5,2.6,5.3,5.7,5,5.9,8.2,6.8,120000,1
2082,3,2.5,2,23,0,11426,6.2,7.2,4.1,7.9,4.72,2.69,7.5,1,1Fam,7,7.1,7.8,7,7.3,5,3.2,3.1,200000,0
1252,3,1,2,118,1,7438,3.5,4.5,4.3,6.1,6.68,4.66,7.2,1,1Fam,5,0,4.9,5.3,5.3,4.5,10,4.3,127000,0
3608,4,2.5,2,134,1,22950,12.19,10,0.4,10,2.12,0,4.1,1,1Fam,10,0,9.4,10,10,10,10,0,475000,2
1217,3,2,1,36,1,9947,5.45,6.9,1.7,8.3,6.07,4.23,7.3,1,1Fam,7,5.6,7,5.8,7.1,8.2,3.9,4.3,173000,0
1656,3,2.5,2,110,1,10410,5.13,5.5,5.6,4.6,5.49,5.46,7.6,1,1Fam,5,0,3.9,5.6,4.8,6.1,9.8,3.8,135000,0
1224,2,1,1,47,0,7018,2.66,5.6,5.5,6.5,5.03,5.25,8.6,1,Duplex,5,5.3,5.2,5,4.8,5.1,4.8,7.6,153337,2
1593,0,1.5,1,25,1,4923,0.95,9.3,0.1,8.8,3.41,2.81,9.3,1,TwnhsE,8,7.1,8.2,8.2,8,4.3,3.1,9.3,286000,1
2727,3,2.5,2,94,1,10570,4.84,8.3,0.8,8.4,2.37,1.74,7.6,1,1Fam,8,0,8.8,7.6,8.1,7.1,10,4.8,315000,2
1479,4,1.5,2,54,1,7472,4.59,7.2,2.7,7.5,4.58,2.23,6.9,1,1Fam,7,3.4,6.9,6.6,6.9,2.7,6.1,5.6,184000,0
1431,3,2,1,27,0,9017,4.72,7.1,2.7,8.3,5.5,2.4,6.8,1,1Fam,7,5.6,7.2,7.2,7,6.3,3.9,4.1,192000,0
1709,3,2,2,22,0,2522,0.02,6.8,1.8,7.3,4.11,3,8.8,1,Twnhs,7,6.7,6.6,8.2,6.2,2.4,1.2,10,130000,0
864,3,1,1,54,0,7180,3.76,5.2,5.4,5,5.57,3.94,7.9,1,1Fam,5,3.3,4.8,5.5,5.3,3.8,5.1,5.2,127000,0
1456,3,2.5,2,50,0,2280,1.53,5.9,4.3,6.4,6.07,3.5,10,1,Twnhs,6,3.6,5.2,6.6,6.1,1.3,5.4,7.9,148500,1
1726,3,2,1,19,0,9416,3.82,7.1,2.8,6.9,5.86,2.48,6.5,1,1Fam,7,8.9,6.9,6.9,7.5,5.1,3.1,6.8,311872,1
3112,4,2,2,108,1,25419,12.86,8.7,1.2,10,2.31,4.12,3.3,1,1Fam,8,0,7.8,7.7,8,10,10,0,235000,1
2229,5,1,2,114,1,5520,2.82,5.5,5,6.2,6.82,1.23,9.6,0,1Fam,6,0,6.1,5.6,5.1,4.7,10,8.8,104000,0
1713,3,2,1,22,1,9591,3.65,8.6,3.7,9.4,4.82,1.82,7.3,1,1Fam,8,7.3,7.7,7.8,7.8,6.4,2.9,7.4,274900,1
1121,2,2,1,23,1,8546,4.63,4.7,5.5,4.5,8.95,7.73,8.3,1,1Fam,4,8.2,4,3,3.9,7.3,1.2,5,140000,0
1279,3,2,1,49,0,10125,5.62,5.9,3.4,5.9,7.22,4.12,7.3,1,1Fam,6,4.3,5.8,5.6,6.4,7.6,6.5,2.8,171500,2
1310,2,2,2,102,1,7000,4.58,4.9,4.5,6.6,8.2,4.75,8.5,1,1Fam,6,0,5.8,5.7,5,4.3,9.3,6.8,112000,0
848,1,1,1,22,0,4438,3.27,5.7,3.6,7.1,5.64,4.1,8.7,1,TwnhsE,6,7.2,6,5.9,6,2.9,0.3,8.1,149000,1
1284,2,1.5,2,79,1,3500,0.37,5.6,4.9,5.4,7.11,4.33,9.8,1,1Fam,5,0,5,5.1,5.3,2.9,7.9,9,110000,0
1442,3,2,1,36,0,11851,4.99,7,3.7,8.5,4.58,0.76,5.5,1,1Fam,7,6,7.4,7.2,6.7,8.9,5.3,5.9,180500,0
1696,3,1.5,1,64,0,13673,7.35,4.5,3.1,6.2,7,5.21,6.2,1,1Fam,5,2,4.9,5,5,9.4,7,2.3,143900,1
1100,3,1,1,66,0,12493,6.76,3.7,7.3,5,9.53,5.22,7.2,1,1Fam,4,1.2,3.8,3.7,3.7,9.4,7.4,4.7,141000,1
2062,3,2.5,2,38,1,14364,7.7,7.4,3.1,7.4,3.65,2.2,6.9,1,1Fam,7,6.4,6.9,6,6.6,9.3,3.8,1.8,277000,1
1092,3,1,1,62,0,8250,7.98,6.3,3.6,5.8,5.14,3.5,9.4,1,1Fam,6,1,5.6,5.7,5.8,4.5,6,4,145000,0
864,2,1,1,101,1,5604,3.37,4.9,4.9,5.1,8.38,6.74,8.2,0,1Fam,5,0,4.8,4.5,4.6,3.7,8.6,7.4,98000,0
1212,3,2,1,17,0,10420,6.35,5.8,4,6.7,7.02,6.4,8.9,1,1Fam,6,8.9,7,6.2,6.3,7.2,0,5.5,186000,0
1852,3,2.5,2,17,0,8640,5.27,6.8,1.3,8.1,4.64,3.22,7.2,1,1Fam,7,8.2,6.5,7.5,6.6,4.6,1.9,4.3,252678,1
990,3,1,1,31,0,13568,7.44,4.5,6.5,4,7.85,4.54,7.9,1,1Fam,5,6.1,4.9,5.5,4.5,7.7,4.4,3,156000,0
1392,3,1.5,2,49,0,10900,5.13,6.8,4,6.6,6.34,2.82,8.1,1,1Fam,6,4.1,5.8,6.4,6.9,7.7,5.2,3.9,161750,0
1236,2,1,1,69,1,10011,5.76,4.8,5.4,5.6,8.5,5.47,6.6,1,1Fam,5,1.6,4.9,4.9,5.5,6.3,7.5,5.1,134450,1
1436,3,2,1,22,0,8450,3.45,7.6,4,7.5,5.07,4.78,8.2,1,1Fam,7,5.7,6.8,6.7,6.1,5.5,3.8,7.4,210000,0
1328,3,1,2,101,1,9906,4.72,4.8,5,5.3,9.03,5.75,7.5,1,1Fam,4,0,4.1,3.6,3.6,6.2,10,7.7,107000,0
1954,3,1.5,2,87,1,15660,7.34,7.5,3.5,8,7.64,0.62,6.7,1,1Fam,7,0.7,6.1,6.2,7.1,10,8.6,3.1,311500,2
1248,2,2,1,21,1,3010,1.59,6.8,2.7,8.6,5.6,3.67,9,1,TwnhsE,7,6.7,7.5,7.5,7.2,3.3,1.3,9.1,167240,0
1498,2,2,1,20,0,8990,6.81,7.2,3.8,7.5,5.05,3.99,7.4,1,1Fam,7,7.2,7.3,6.9,6.3,4.8,4,2.7,204900,0
2267,4,2.5,2,24,0,8068,2.17,6,1.9,7.3,6.72,2.41,9.4,1,1Fam,6,6.5,5.4,5.4,6.6,4.8,2.9,8.4,200000,1
1552,3,2.5,2,51,0,11475,6.42,5.5,3.9,7.7,5.63,4.18,7,1,1Fam,6,3.5,4.9,5.6,6.4,8.5,4.2,3.2,179900,1
864,2,1,1,55,0,10500,3.64,4.2,5.4,5.3,10.39,6.45,8.2,1,1Fam,4,2.5,3.5,3.6,4.2,7.6,4.3,6.5,97000,0
2392,3,2,1,23,0,13472,6.26,9.4,0.4,10,2.18,0,6.4,1,1Fam,10,7.6,9.9,10,10,8.9,3.6,3.9,386250,1
1302,3,2.5,2,55,0,1680,1.93,5.6,5.5,5.3,6.73,4.21,10,1,Twnhs,5,3.3,6.3,5.5,5.2,0,4.5,7.7,112000,0
2520,4,2.5,2,31,0,9950,5.04,6.8,2.3,7.5,4.16,4.02,6.8,1,1Fam,7,6.9,7.3,6.8,7.2,6,5,5,290000,1
987,2,1.5,2,56,0,1869,0,6.1,3.3,6.9,7.1,3.6,8.9,1,Twnhs,6,1.9,5.1,4.9,6.8,0.7,2.8,9.8,106000,0
912,3,1,1,59,0,8521,3.55,5.1,4.9,6,7.87,3.51,9.4,1,1Fam,5,2.3,4.7,4.9,5.6,6,7.3,6.1,125000,1
1555,2,2,1,21,1,3182,2.27,6.9,2.1,7.1,4.5,0.95,8.8,1,TwnhsE,7,7.1,7,6.9,6.6,3.8,2.6,8.8,192500,1
1194,3,1,1,67,0,8760,3.65,6.3,4.8,6.6,6.58,5.26,9.4,1,1Fam,6,2.1,6.1,5.9,6.3,5.2,6.8,6.5,148000,0
2794,4,2.5,2,31,1,15138,7.79,7.8,1.6,7.4,2.49,2.62,7.1,1,1Fam,8,5.3,7.3,7.7,7.7,9.1,2.9,2.6,403000,1
987,2,1.5,2,54,0,1680,0.89,6.4,1.1,7.6,6.18,4.09,9.4,1,Twnhs,6,4.2,5.9,6.1,6.3,1,7.3,7.7,94500,1
894,3,1,1,50,0,10650,4.67,4.3,4.6,5.1,7.45,4.56,5.5,1,1Fam,5,4.9,4.6,5,5.2,8.1,5.7,5.8,128200,0
1960,4,2.5,2,24,0,7851,6.07,6.1,3,6.6,7.71,3.47,8,1,1Fam,6,6,5.4,6,5.3,3.8,1.5,4.5,216500,2
987,2,1.5,2,55,0,1680,1.47,7,2.4,6.4,5.23,2.92,9.7,1,TwnhsE,6,2.6,6.1,6.2,5.9,2.6,3.8,8.1,89500,0
1414,3,2,1,22,0,8773,2.36,6.5,1.8,8.5,3.72,2.57,9,1,1Fam,7,6.7,7.4,6.8,7.1,5.7,2.4,9.7,185500,0
1744,3,2.5,2,33,1,9453,4.91,6.7,3.1,5.7,4.1,0.88,9.2,1,1Fam,7,8.5,7.4,6.8,6.8,5.6,3.3,2.8,194500,0
1694,3,2,1,19,0,12030,5.35,8.3,3.3,8.8,2.66,1.26,6.3,1,1Fam,8,7.2,8.3,8.7,8.2,6.4,0.4,5.4,318000,0
1487,3,1.5,2,81,1,8741,5.22,6.1,4.3,6.5,7.34,3.69,8.6,1,1Fam,6,1.6,5.8,6.3,6.4,6.5,8,5.5,113000,1
1566,3,2,1,18,0,9000,3.71,8.2,1.4,8.5,5.55,2.61,8.5,1,1Fam,8,6.5,8.4,8.4,8,5.8,1.2,6.8,262500,0
866,2,1,1,81,1,3880,1.83,5.2,5.5,6.7,7.32,4.96,10,0,1Fam,5,0,5.2,5.6,5.1,2.8,8.1,8.4,110500,0
1440,3,1,2,126,1,5000,3,5.3,4.5,4.9,8.22,5.79,9.2,1,1Fam,5,0,5.1,5.3,5.7,2.4,10,7.5,79000,0
1217,3,1.5,2,46,0,10762,6.25,6.6,3.3,7.1,6.13,5.35,5.4,1,TwnhsE,6,3.4,5.7,6.5,6.2,6.9,6.1,4.6,120000,1
2110,3,2.5,2,32,1,8880,3.24,7.2,1.8,7.9,4.9,4.06,7.6,1,1Fam,7,5.7,6.8,6.2,7.1,5.4,4.1,6,205000,2
1872,3,2,1,38,0,10400,4.87,6.9,1.2,8.6,4.67,3.47,6.2,1,1Fam,7,4.5,7,7.1,6.5,6.8,3.1,5.4,241500,1
1928,4,2,2,116,1,9142,4.1,6.3,3.6,6.1,5.69,4.01,7.5,1,2fmCon,6,0,7.2,5.9,6.3,5.4,10,5.7,137000,0
1375,2,1,1,72,0,11310,5,6.9,4.2,6.1,4.45,3.02,8.2,1,1Fam,6,2.2,6.2,6.8,6.2,6,7.3,3.9,140000,1
1668,3,2.5,2,23,0,11317,7.42,6.9,2.9,8.5,5.26,3.74,7.5,1,1Fam,7,8.3,6.7,7.5,7.6,10,1,3.3,180000,0
2144,4,2,2,68,1,159000,79.9,5.5,3.6,6.9,5.96,5.68,0,1,1Fam,6,2.4,5.6,5.7,6,10,7.2,0,277000,2
1306,3,1,1,86,1,5350,1.41,3.6,6.1,2.2,9.75,7.34,9,0,1Fam,3,0,2.8,3.2,2.1,3.7,10,7.1,76500,0
1625,2,2,1,20,1,4750,3.29,7.9,2.6,8.4,4.09,3.92,7.5,1,TwnhsE,8,7.6,9.1,8.1,7.1,1.4,2,6.2,235000,1
1640,3,2.5,2,22,0,8366,6.31,4.9,2.7,6.9,5.84,2.47,5.4,1,1Fam,6,6.8,5.8,6.2,6.4,3.6,0.6,2.9,173000,0
1302,3,2,1,62,1,9350,5.71,6.4,4.8,7.2,5.13,2.85,7.8,1,1Fam,6,1.3,6.5,5.5,5.7,6.3,6.2,5.3,158000,0
1314,3,1,1,69,0,8400,2.68,4.7,4,5,7.07,5.86,7.7,1,1Fam,5,1.7,4.8,5.2,5.2,5.8,5.7,7.5,145000,0
2291,4,2.5,2,27,0,8738,3.88,7,2.2,5.7,5.74,3.26,6.8,1,1Fam,7,5.5,7.1,6.9,7.1,7.1,3.6,7.5,230000,1
1728,3,2.5,2,23,0,8791,5.66,6.2,2.5,7,4.86,5.31,6.1,1,1Fam,6,6.1,6.4,6.1,5.9,6.3,2.8,3.7,207500,0
1604,3,2.5,1,20,0,8814,3.7,7.1,2.5,6.8,5.09,2.98,7.1,1,1Fam,7,8.7,6.7,6.6,7,5.7,1.8,7.2,220000,1
1792,3,2.5,2,25,0,12435,6.66,7.4,4,6.3,5.23,2.13,6.7,1,1Fam,7,8.8,6.7,6.7,6.6,7.3,2.2,6.2,231500,1
882,2,1,1,70,0,12702,7.13,4.8,5.5,3.5,6.28,4.79,7.5,1,1Fam,5,1.6,5.8,5.6,5,10,6.8,3.2,97000,0
1382,3,1,1,64,0,19296,8.72,6.3,5,7.2,5.41,2.47,5.4,1,1Fam,6,3.1,6.5,5.5,5.7,10,6.4,2.1,176000,1
2574,3,2.5,2,19,0,9588,4.73,7.9,2.5,8.9,4.23,0.87,9.2,1,1Fam,8,7.4,8.4,7.5,7.8,5.1,1.1,6,276000,1
1212,3,1,1,49,1,8471,0.99,6.4,2.9,6.4,4.87,4.97,6.8,1,1Fam,6,2.5,6.4,6,5.8,5.7,3.5,7.6,151000,1
1316,3,1,1,97,1,5500,1.73,5.3,4.7,6.5,7.35,5.87,9.5,1,1Fam,5,0,5.2,4.6,4.9,3.8,10,8.9,130000,0
764,2,1,1,101,1,5232,2.36,4.5,4.2,5.9,6.1,5.36,8.7,1,1Fam,5,0,6,4.6,5.5,3.1,9.7,7.9,73000,0
1422,3,2,1,45,0,12090,4.8,6.5,5.3,7.7,7.06,2.28,7.7,1,1Fam,6,4.4,6,6.1,5.9,8.8,4.7,4.9,175500,1
1511,3,2.5,2,29,0,11207,7.24,5.7,2.8,5.6,8.34,3.64,6.8,1,1Fam,6,6.1,6.3,5.2,6.5,8.3,3.2,1.9,185000,1
2192,4,2.5,2,87,1,8400,2.77,5.4,5.9,5.5,6.14,3.78,9,1,1Fam,5,0.1,4.3,4.5,5.8,5.4,9,7.9,179500,1
778,2,1,1,86,1,6900,3.01,5.2,5.9,4.4,7.53,6.18,8.6,1,1Fam,5,0,4.6,6,5.4,4.3,7.4,6,120500,1
1113,3,1.5,1,50,0,7917,4.09,6.9,5.8,6.4,5.27,3.42,7.3,1,1Fam,6,3,5.4,6.2,6.3,6.8,3.3,8,148000,1
1939,3,2.5,2,20,0,10728,6.81,7.9,1.6,8.6,5.04,0.91,7.3,1,1Fam,8,6.5,8.6,7.6,8.2,8.1,1.4,3.3,266000,1
1363,2,1,1,72,1,39104,18.12,6.8,3.7,8.1,3.73,3.03,0,1,1Fam,7,1.1,5.7,7.2,7.4,10,7.6,0,241500,2
2270,4,2.5,2,27,1,11764,7.05,8,4.3,8.8,4.48,1.36,7.5,1,1Fam,8,5.5,7.8,8.3,8,6.2,2,2.4,290000,1
1632,3,2,1,68,1,9600,4.81,5.8,3.4,7,5.13,5.48,6.4,1,1Fam,6,0.8,4.5,6.5,6.5,6.7,6.4,4.9,139000,1
816,2,1,1,44,0,8314,3.18,5.4,3.5,6,6.79,4.27,7.9,1,1Fam,5,3.8,4.6,4.9,5.3,6.2,6.5,9.2,124500,0
1548,3,2.5,2,101,1,7264,4.09,6.2,1.1,9.2,3.97,1.6,8.6,1,1Fam,7,0,6.8,7.5,6.8,2.1,8.3,5,205000,0
1560,3,2,1,23,0,9196,4.8,6.5,3.7,7.5,5.82,0.85,7.7,1,1Fam,7,5.6,7.7,6,7.4,6.4,1.5,5.1,201000,0
864,2,1,1,75,0,19138,8.97,3.5,4.1,3.7,7.16,5.97,6.6,1,1Fam,4,0.7,4.2,3.5,4,10,9.4,0.5,141000,0
2121,3,2.5,1,20,1,14450,7.29,9.5,0.6,10,3.55,0.44,7.2,1,1Fam,9,8.7,8.6,9.1,8.9,9.4,2,3.2,415298,1
2022,4,2.5,2,49,0,10005,4.62,7.9,3.4,7.1,4.66,1.57,7.5,1,1Fam,7,4,7.5,7.2,6.8,5.8,4.2,4.9,192000,1
1982,3,2.5,2,37,0,11287,5.76,6.9,3.2,8.7,4.89,4.19,7.4,1,1Fam,7,6.9,7,6.5,7.1,7.4,4.9,3.1,228500,1
1262,2,2,1,20,0,7200,4.26,5.9,4.4,6.4,6.15,4.67,8.5,1,1Fam,6,8.8,6,6.1,6.5,6.2,2.1,5.5,185000,0
1314,2,2,1,19,1,5063,4.12,7,3.2,7.3,4.24,2.97,9.1,1,Twnhs,7,8.4,6.4,6.7,7.4,2.9,1.6,5.6,207500,1
1468,3,2,1,18,1,9612,3.57,8.6,3.3,8.5,4.21,3.36,5.8,1,1Fam,8,7.8,7.5,7.9,8.2,7.4,2,5.8,244600,1
1575,2,2,1,34,0,8012,6.14,5.5,3,7.1,7.53,4.66,7.7,1,TwnhsE,6,5.8,5.6,6.5,6.3,4.5,2.7,3.3,179200,0
1250,2,2.5,2,20,1,4251,0.17,7.1,2.3,7.6,4.22,2.18,7.5,1,TwnhsE,7,8.3,7,7.5,7.6,3.6,1,10,164700,0
1734,3,1.5,2,64,1,9786,4.74,6.5,3.2,6.2,7.17,2.96,8.8,1,1Fam,6,1.6,6,5.5,5.9,6.5,6.3,4.9,159000,1
858,3,1,1,55,0,8125,4.65,4.3,6.8,5.6,9.5,6.82,7.9,0,1Fam,4,1.2,4.8,3.5,3.4,5.8,4.5,4.2,88000,0
900,3,1,1,59,0,9819,5.19,5.1,5.9,4.9,6.18,5.4,7.4,1,1Fam,5,3.1,5.2,4.8,5.7,6.6,5.9,4.3,122000,0
1396,3,1,2,111,1,8730,3.74,6.5,4.5,6.6,4.54,4.17,8.7,1,1Fam,6,0,4.6,6,5.7,6.5,10,6.3,153575,0
1919,3,2.5,2,20,0,15611,7.6,6.6,3.2,9.3,4.3,1.15,6.5,1,1Fam,8,6.5,8.1,7.7,7.7,7.8,2.9,1.1,233230,1
1716,6,2,2,114,1,5687,2.35,5.3,3.8,4.4,6.45,5.61,7.4,0,2fmCon,5,0,4.3,5.5,4.1,2.4,10,9.3,135900,0
1716,3,1.5,2,77,1,11409,5.12,4.7,6.7,5.8,8.87,4.24,7.1,1,1Fam,5,0.3,4.5,5.2,5.3,8,7.3,5.8,131000,1
2263,3,2.5,2,49,1,16659,9.18,6.1,4.5,7,5.03,2.9,5.5,1,1Fam,7,2.5,6.6,7.2,6.2,9.1,5.4,2.3,235000,1
1644,3,1,1,73,0,9600,5.16,6.3,4.7,7.2,5.2,5.45,5.9,1,1Fam,6,1,5.7,5.4,5.6,5.9,7.8,5.2,167000,2
1003,3,1,1,42,0,7937,3.28,6.7,5.8,5.9,4.85,3.34,7.3,1,1Fam,6,5.7,5.3,6.6,6.3,5.2,4.5,4.6,142500,0
1558,4,1.5,2,76,0,13710,7.75,4.9,3.3,6,8.09,3.43,6.4,1,1Fam,5,0,5.1,3.6,5.4,8.3,7.1,3.8,152000,0
1950,3,2.5,2,29,1,7399,4.01,7.5,2.5,8.5,4.43,1.95,8,1,1Fam,7,7.6,6.3,7.4,6.7,4.2,1.9,5.1,239000,1
1743,3,2,2,58,0,11700,6.66,6.8,3.3,7.2,6.04,4.99,5.6,1,1Fam,6,1.2,6.2,6.5,5.9,8.1,6.3,2.6,175000,1
1152,3,1,1,76,1,14000,7.63,6.7,4.7,6.8,6.96,4.25,7.7,1,1Fam,6,2.6,7.1,5.8,5.6,10,5.9,2.5,158500,1
1336,2,1,1,73,0,15750,7.05,5.8,3.9,5.3,6.52,4.87,6,1,2fmCon,5,0.5,4.3,5.6,4.7,9.5,7,4.3,157000,2
2452,4,2.5,2,28,1,16226,7.55,8.4,2.8,8.4,3.95,1.49,6,1,1Fam,8,6.6,7.9,8,8.1,10,0.2,3.5,267000,1
1541,3,2,1,25,1,13704,7.6,7,4.4,8.7,4.98,3.49,7,1,1Fam,7,5,5.7,7,6.7,8.4,1.2,3.3,205000,1
894,3,1,1,54,0,9800,5.51,4.2,5.7,5,7.68,4.15,6.8,1,1Fam,5,3.2,4.8,5.2,4.9,4.1,4.5,4.2,149900,0
3493,3,3,2,146,1,18386,9.17,6.9,3.3,7,5.59,3.31,5.9,1,1Fam,7,0,7.3,8.6,6.3,10,10,0.5,295000,1
2000,3,2,1,22,1,10386,5.31,7.6,1,9.3,3.78,1.27,7,1,1Fam,8,7.2,8.4,8.7,8.6,7.9,2.9,5,305900,0
2243,4,2.5,2,36,1,13474,8.01,8.1,2.2,7.1,5.06,2.1,5.7,1,1Fam,7,4.9,7,7.4,7.3,10,3,1.9,225000,1
1406,3,1,2,106,1,7920,3.37,5.9,5.2,5.9,5.63,3.36,8.6,0,1Fam,6,0,6.4,5.5,6.4,4.4,10,7.5,89500,0
861,1,1,1,86,1,12342,6.72,4.1,6.8,3.4,6.52,5.62,8.4,1,1Fam,4,0.4,5.3,4.1,4.6,7,9.5,4.1,82500,0
1944,3,2,1,23,1,12378,5.99,9.3,1,9.6,3.26,0.95,7.6,1,1Fam,9,7.2,9.9,8.6,8.6,8.3,2.1,4.6,360000,3
1501,3,2.5,2,33,1,7685,3.62,6,3.6,6.5,7.89,4.24,9,1,1Fam,6,7.4,5.7,6.4,5.8,6,1.9,3.8,165600,1
972,2,1,1,78,1,8000,5.1,6.8,2,6.8,5.12,0.31,7.5,1,1Fam,6,0,5.3,6.1,5.1,5.5,7.6,5,132000,1
1118,3,1,2,87,1,7800,4.73,4.7,3.9,6.2,6.23,4.19,6.5,1,2fmCon,5,0,4.8,4.4,6.6,5.5,8.6,5.2,119900,1
2036,3,2,1,61,0,215245,108.44,7.1,4.9,8.1,4.13,2.61,0,1,1Fam,7,3.2,6.5,7,6.9,10,4.9,0,375000,2
1641,3,1.5,2,101,1,9600,6.11,6.6,1.7,7.6,5.72,4.51,9.7,1,1Fam,7,0,7.2,6.6,7.5,5.7,10,3.1,178000,1
1432,3,2.5,2,22,1,7795,3.92,6.3,3.2,7.6,5.45,1.92,9.6,1,1Fam,7,6,6.4,7.1,6.4,5,2.5,4.8,188500,1
2353,4,2.5,2,46,0,13005,7.18,6.7,4,8.1,4.84,3.16,6.4,1,1Fam,7,5.3,7,6.6,7.5,10,5,3.3,260000,1
1959,3,2.5,2,20,0,9000,4.19,8,0.7,9.7,3.08,3.5,6.6,1,1Fam,8,6.3,8.4,8,8.9,5.8,2.3,5.5,270000,1
2646,4,2.5,2,33,0,9900,5.27,6.8,3.2,7.8,5.09,1.69,6.5,1,1Fam,7,4.1,6.9,7.4,7,5.3,4,5.3,260000,1
1472,3,2,1,46,0,14115,6.93,6.7,3.9,7.4,3.44,3.39,4.8,1,1Fam,7,6.1,6.5,7,6.5,8.7,4.4,2.4,187500,2
2596,4,3.5,2,20,0,16259,8.23,8.3,1,9.2,3.14,0.2,5.8,1,1Fam,9,6.1,9.6,8.8,8.9,9.9,2.2,3.2,342643,0
2468,4,2.5,2,22,0,12099,6.64,8,4.9,7.8,4.87,1.5,8.6,1,1Fam,8,7.4,7.1,8.1,6.9,8.4,1.8,4.4,354000,1
2730,4,2.5,2,40,1,10380,4.37,6.2,1.3,8.2,3.75,2.2,7.3,1,1Fam,7,5.1,6.8,7.3,7,6,3.4,5.9,301000,1
1163,3,1,1,71,1,5820,5,3.4,8.1,3.7,7.47,6.27,8.8,1,1Fam,3,0,3,2.4,3.4,4.2,8.4,4.8,126175,0
2978,5,2.5,2,59,1,11275,4.63,7,2.8,8.1,6.58,5.72,8.6,1,1Fam,7,2.4,7,7.1,7,6.8,3.9,6.2,242000,1
803,2,1,1,85,1,5000,1.29,4.3,5.8,5.4,6.39,5.84,8.3,1,1Fam,5,0,5.1,5.7,4.9,1.2,9.4,9.1,87000,0
1719,1,1.5,1,33,0,10846,6.58,7.8,2.4,9.8,5.14,3.1,9.3,1,TwnhsE,8,6.2,8.3,8.3,8.3,7.5,2.7,3.7,324000,2
